"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"39204","evm.TU.utg9867.14","evm.TU.utg9867.14",1.01566390229684,-1.00061557265448,2.15565601858285,-0.464181466815052,0.642517738235317,NA,-0.00266301704240316,NA,"Non-Sig","NO"
"39205","evm.TU.utg9867.19","evm.TU.utg9867.19",0.241071979343209,0.715890829403194,3.10016310274141,0.230920376018329,0.817376660724359,NA,0.0010096516735548,NA,"Non-Sig","NO"
"39206","evm.TU.utg9867.2","evm.TU.utg9867.2",352.531270681934,-0.234218897665824,0.200722950781499,-1.16687651688016,0.243260240591972,0.93568158974342,-0.00440461790350838,0.93568158974342,"Non-Sig","NO"
"39207","evm.TU.utg9867.20","evm.TU.utg9867.20",1.94241057994652,-0.308638486588789,1.27771457428764,-0.241555111602966,0.80912490784713,NA,-0.0017935222433001,NA,"Non-Sig","NO"
"39208","evm.TU.utg9867.22","evm.TU.utg9867.22",99.3191674194626,-0.336209661969309,0.335003437227449,-1.00360063392735,0.315571148900991,0.959461722478369,-0.00580834754353158,0.959461722478369,"Non-Sig","NO"
"39209","evm.TU.utg9867.23","evm.TU.utg9867.23",1.55426194776237,-1.29224512018835,1.52141693185092,-0.849369487834104,0.39567572587913,NA,-0.00625373069062769,NA,"Non-Sig","NO"
"39210","evm.TU.utg9867.3","evm.TU.utg9867.3",346.8493267231,0.19126031254873,0.180156414518345,1.06163476365841,0.288401525485368,0.952878063125138,0.00331727853951657,0.952878063125138,"Non-Sig","NO"
"39211","evm.TU.utg9867.4","evm.TU.utg9867.4",38.3599929958921,-0.00842791501179568,0.358861487510105,-0.0234851476269333,0.981263285695329,0.998683342004946,-0.000103020625723898,0.998683342004946,"Non-Sig","NO"
"39212","evm.TU.utg9867.5","evm.TU.utg9867.5",246.600072839037,0.08252862115378,0.18285540403744,0.451332688734111,0.651749788502899,0.997907053518423,0.00107405686774302,0.997907053518423,"Non-Sig","NO"
"39213","evm.TU.utg9867.7","evm.TU.utg9867.7",14.306072955808,-0.335698566790928,0.581934090976254,-0.576866988884874,0.564029312135486,NA,-0.00418704538171052,NA,"Non-Sig","NO"
"39214","evm.TU.utg9867.8","evm.TU.utg9867.8",28.3139880152413,-0.426306730569413,0.398521455589234,-1.06972090107193,0.284744955444002,0.950007576993629,-0.00762560915788862,0.950007576993629,"Non-Sig","NO"
"39215","evm.TU.utg9867.9","evm.TU.utg9867.9",55.3023717427142,-0.160363647945395,0.346119943691254,-0.463318138316936,0.64313634633186,0.997907053518423,-0.00210454395549207,0.997907053518423,"Non-Sig","NO"
"39216","evm.TU.utg9875.1","evm.TU.utg9875.1",2.18481395077345,-0.519260449157384,1.49221092279272,-0.347980597934219,0.727854754586368,NA,-0.00244843897780118,NA,"Non-Sig","NO"
