"geneID","proteinID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"evm.utg112.47","A0A3M6UYN4",698.125618053887,0.475267902820426,0.385597828094746,0.000559875448522975,0.0828605812698456
"evm.utg890.35","A0A6P8I5K6",262.921261302552,-0.409320000048774,0.326132024425068,0.000557497211236734,0.0828605812698456
"evm.utg514.1","A0A6P8I8T2",526.111311021562,0.519957813593506,0.446575388736446,0.000580550526714872,0.0844559795616901
"evm.utg418.25","A0A6P8J9H6",26.3414202511863,0.480730077943394,0.649652135685559,0.000581112035925694,0.0844559795616901
"evm.utg30988.9","A0A6P8H108",42.0805085157707,-0.166827920142356,0.569501190398635,0.000580569610962125,0.0844559795616901
"evm.utg92.78","A0A6P8HWY9",103.030163901876,-0.554140723716146,0.54964726757572,0.000595087806714143,0.085381034291737
"utg777.equina_smart_1473457.mrna2","A0A0S1M1A7",1024.0107218154,0.554022058498923,0.539882832143592,0.00059367241095072,0.085381034291737
"evm.utg498.104","A0A6P8HXU0",370.754884653669,-0.543687957801417,0.50145977213639,0.000596851646953913,0.085381034291737
"evm.utg715.28","A7RXV4",112.129003325598,-0.546831199975804,0.552354182736853,0.000615359508068885,0.0862229119946982
"evm.utg2757.68","A0A6P8IPW8",82.4601034324994,0.544481112377652,0.578761216177851,0.000611492010458345,0.0862229119946982
"evm.utg16223.13","A0A6P8IE25",37.2940852596662,-0.516852423429366,0.621514890993106,0.000611574460208039,0.0862229119946982
"evm.utg710.35","A0A6P8IS03",567.816756088101,0.501206889073584,0.434874921638139,0.000614443435733971,0.0862229119946982
"evm.utg379.32","A0A6P8IIS0",1659.49705957725,-0.376155880062369,0.31575683615392,0.000638582879707349,0.0890204082767545
"evm.utg2932.11","A0A6P8HYV2",310.201201972218,-0.0976631369301678,0.517631083994995,0.000704852824147645,0.0977598665694726
"utg1002.equina_smart_263049.mrna1","A0A6P8I381",1420.31677707538,-0.477578313168891,0.43971223152157,0.000713527077360551,0.0984631330036482
"evm.utg4455.12","A0A6P8HYV8",49.9681186139367,-0.506484593689187,0.509584720761243,0.000727904247770522,0.0993293126629099
"evm.utg479.142","A0A6P8IYA5",24.678216341996,0.481158052032495,0.604924316351079,0.000729838826434717,0.0993293126629099
"evm.utg5390.2","A0A6P8I048",57.5340202077769,0.480955684945388,0.600768939978581,0.000741616212832911,0.0993293126629099
"evm.utg112.49","A0A3M6UYN4",64.1372114196074,0.479221300968477,0.450978304848548,0.000735615234762684,0.0993293126629099
"evm.utg162.16","A0A6P8HFF2",327.580490272369,-0.368678717277005,0.327260111616771,0.000739689632283618,0.0993293126629099
"evm.utg729.58","A0A6P8I8H1",26.5365318307808,0.247612307712542,0.581368868092317,0.000732362297994522,0.0993293126629099
"evm.utg4157.34","A0A6P8HEU1",54.5009439278946,0.500665061992315,0.529257610412318,0.000760801041240219,0.0995293048307874
"evm.utg1278.28","A0A6P8HDH3",30.2987618518846,0.497994106647854,0.568007848722014,0.000754298170387944,0.0995293048307874
"evm.utg92.24","A0A6P8H2I8",78.7198089466225,0.490549609879569,0.491928594553533,0.000768608253826306,0.0995293048307874
"evm.utg12889.15","A0A6P8J2T0",55.9992740581737,0.423700433203231,0.623161099085687,0.000753673715371665,0.0995293048307874
"evm.utg379.20","A0A7D9EF48",451.038846923989,0.411969648234784,0.373778531501811,0.00076618838882864,0.0995293048307874
"evm.utg1663.12","A0A6P8HQX7",4066.35187872564,-0.393016998709385,0.354298872428469,0.00076475825064427,0.0995293048307874
"evm.utg1972.86","A0A6P8HXD4",298.046037138449,-0.325761208325359,0.292208166795605,0.000747320172356563,0.0995293048307874
"evm.utg2099.78","A0A6P8H9N4",116.702846059359,19.2189772970699,3.06071073829654,1.37110402394494e-10,4.01239881567249e-06
"evm.utg178.50","A0A6P8HG67",79.5104976852577,1.9434775744597,0.520584444223154,2.40556413266331e-07,0.00351982143891295
"evm.utg3013.18","A7RGG2",24.5348746768615,2.7039871227682,0.990894085988597,4.12419216821208e-07,0.00402301198701861
