"ID","Description","Description_QuickGO","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO","log2FoldChange","Representative_GO"
"GO:0017147","Wnt-protein binding ","Wnt-protein binding",0.016260163,0.00176704,0.020095111,0.077697712,0.049258119,"evm.utg801.104/evm.utg4709.1",2,"molecular_functions","0.521233645662609/0.64789256233713","growth factor activity"
"GO:0018126","positive regulation of translational termination ","protein hydroxylation",0.010989011,0.000173238,0.015666655,0.062064057,0.034250987,"evm.utg788.82",1,"biological_processes","-1.10341137430643","protein polyubiquitination"
"GO:0019148","D-cysteine desulfhydrase activity ","D-cysteine desulfhydrase activity",0.008130081,0.000173807,0.021190285,0.077697712,0.049258119,"evm.utg1683.40",1,"molecular_functions","0.97122191038083","ornithine decarboxylase activity"
"GO:0021517","cell division ","ventral spinal cord development",0.010989011,0.000277181,0.02494987,0.077873837,0.042975853,"evm.utg97204.12",1,"biological_processes","0.593573059436416","thymus development"
"GO:0021978","apoptotic process involved in development ","telencephalon regionalization",0.010989011,3.46e-05,0.003152935,0.032475227,0.017921944,"evm.utg777.43",1,"biological_processes","-0.90962649904899","thymus development"
"GO:0030246","carbohydrate binding ","carbohydrate binding",0.032520325,0.006314997,0.007826014,0.077697712,0.049258119,"evm.utg203.93/evm.utg203.94/evm.utg684.2/evm.utg1575.19",4,"molecular_functions","0.904047507175878/0.635469230546091/0.719868793146788/0.837852935260046","growth factor activity"
"GO:0030878","camera-type eye development ","thyroid gland development",0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,"evm.utg777.43",1,"biological_processes","-0.90962649904899","thymus development"
"GO:0031433","actin filament binding ","telethonin binding",0.008130081,0.000115871,0.014176816,0.077697712,0.049258119,"evm.utg729.116",1,"molecular_functions","0.601356274568047","growth factor activity"
"GO:0032093","ATP binding ","SAM domain binding",0.008130081,8.69e-05,0.010651412,0.077697712,0.049258119,"evm.utg12476.1",1,"molecular_functions","-0.666546084331189","growth factor activity"
"GO:0032474","cilium assembly ","otolith morphogenesis",0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,"evm.utg1931.94",1,"biological_processes","-0.46755692509787","otolith morphogenesis"
"GO:0032526","response to retinoic acid ","response to retinoic acid",0.010989011,0.000381124,0.034146488,0.092554956,0.05107785,"evm.utg97204.12",1,"biological_processes","0.593573059436416","obsolete response to organic substance"
"GO:0032956","regulation of actin cytoskeleton organization ","regulation of actin cytoskeleton organization",0.021978022,0.000415772,0.000635714,0.016369626,0.009033825,"evm.utg801.104/evm.utg4709.1",2,"biological_processes","0.521233645662609/0.64789256233713","regulation of actin cytoskeleton organization"
"GO:0033387","putrescine biosynthetic process from ornithine ","putrescine biosynthetic process from arginine, via ornithine",0.010989011,0.000173238,0.015666655,0.062064057,0.034250987,"evm.utg3753.61",1,"biological_processes","0.678083869810475","polyamine biosynthetic process"
"GO:0035567","canonical Wnt signaling pathway ","non-canonical Wnt signaling pathway",0.021978022,0.000796896,0.002382543,0.032475227,0.017921944,"evm.utg801.104/evm.utg4709.1",2,"biological_processes","0.521233645662609/0.64789256233713","hormone-mediated signaling pathway"
"GO:0042147","retrograde transport, endosome to Golgi ","retrograde transport, endosome to Golgi",0.021978022,0.003707297,0.045041411,0.099299125,0.054799721,"evm.utg1345.2/evm.utg1420.4",2,"biological_processes","0.783216745403287/1.13161067159281","vesicle-mediated transport"
"GO:0042277","G protein-coupled receptor activity ","peptide binding",0.024390244,0.004026535,0.013606034,0.077697712,0.049258119,"evm.utg234.132/evm.utg324.183/evm.utg4607.34",3,"molecular_functions","0.662092865349155/0.951390776981883/0.646793748739233","growth factor activity"
"GO:0042803","protein homodimerization activity ","protein homodimerization activity",0.032520325,0.008053069,0.017713735,0.077697712,0.049258119,"evm.utg1663.12/evm.utg3722.21/evm.utg3753.61/evm.utg12476.1",4,"molecular_functions","-0.393016998709385/-0.871481359684006/0.678083869810475/-0.666546084331189","growth factor activity"
"GO:0042908","amino acid import across plasma membrane ","xenobiotic transport",0.010989011,0.000277181,0.02494987,0.077873837,0.042975853,"evm.utg4157.34",1,"biological_processes","0.500665061992315","vesicle-mediated transport"
"GO:0043490","aspartate transmembrane transport ","malate-aspartate shuttle",0.021978022,0.000277181,0.000271922,0.009335993,0.005152209,"evm.utg27.73/evm.utg992.42",2,"biological_processes","1.59629571188328/0.979978648170109","malate-aspartate shuttle"
"GO:0046416","D-amino acid metabolic process ","D-amino acid metabolic process",0.010989011,0.000485067,0.043257309,0.099011174,0.054640812,"evm.utg1972.20",1,"biological_processes","0.494132835596553","carboxylic acid metabolic process"
"GO:0046548","positive regulation of gene expression ","retinal rod cell development",0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,"evm.utg78.53",1,"biological_processes","0.691119706976986","retinal rod cell development"
"GO:0046983","protein dimerization activity ","protein dimerization activity",0.040650407,0.010022885,0.008112113,0.077697712,0.049258119,"evm.utg27.73/utg418.evm.utg6875.9.mrna3/evm.utg992.42/utg10114.evm.utg6875.9.mrna2/utg13368.evm.utg6875.9.mrna5",5,"molecular_functions","1.59629571188328/0.61612754046499/0.979978648170109/0.804344413802858/0.814840723797986","growth factor activity"
"GO:0048536","blood vessel development ","spleen development",0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,"evm.utg5885.87",1,"biological_processes","-1.09996075507753","thymus development"
"GO:0048538","abducens nerve formation ","thymus development",0.021978022,0.000277181,0.000271922,0.009335993,0.005152209,"evm.utg78.53/evm.utg1005.68",2,"biological_processes","0.691119706976986/0.974821861102972","thymus development"
"GO:0048869","cellular developmental process ","cellular developmental process",0.010989011,3.46e-05,0.003152935,0.032475227,0.017921944,"evm.utg150.65",1,"biological_processes","1.57928515695734","cellular developmental process"
"GO:0050882","autophagy ","voluntary musculoskeletal movement",0.010989011,0.000519715,0.04627532,0.099299125,0.054799721,"evm.utg2108.27",1,"biological_processes","0.625584649059661","voluntary musculoskeletal movement"
"GO:0050982","detection of mechanical stimulus ","detection of mechanical stimulus",0.021978022,0.001074077,0.004307882,0.040337443,0.022260827,"evm.utg55.197/evm.utg498.104",2,"biological_processes","-0.638118642497244/-0.543687957801417","detection of mechanical stimulus"
"GO:0060395","positive regulation of pathway-restricted SMAD protein phosphorylation ","SMAD protein signal transduction",0.021978022,0.001455201,0.00779939,0.05020857,0.027708358,"evm.utg1663.12/evm.utg3722.21",2,"biological_processes","-0.393016998709385/-0.871481359684006","hormone-mediated signaling pathway"
"GO:0070413","cellular response to desiccation ","obsolete trehalose metabolism in response to stress",0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,"evm.utg280.44",1,"biological_processes","0.659520993469974","trehalose biosynthetic process"
"GO:0072572","histone binding ","poly-ADP-D-ribose binding",0.008130081,0.000115871,0.014176816,0.077697712,0.049258119,"evm.utg2108.27",1,"molecular_functions","0.625584649059661","growth factor activity"
"GO:0097352","autophagosome maturation ","autophagosome maturation",0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,"evm.utg3409.15",1,"biological_processes","-0.991373524313561","autophagosome maturation"
"GO:1901031","negative regulation of TORC1 signaling ","regulation of response to reactive oxygen species",0.010989011,0.000311829,0.028024992,0.08489924,0.046852927,"evm.utg1555.33",1,"biological_processes","0.495912198520849","regulation of response to reactive oxygen species"
"GO:1903302","positive regulation of I-kappaB kinase/NF-kappaB signaling ","regulation of pyruvate kinase activity",0.010989011,3.46e-05,0.003152935,0.032475227,0.017921944,"evm.utg788.82",1,"biological_processes","-1.10341137430643","regulation of pyruvate kinase activity"
"GO:1990837","DNA-binding transcription factor activity, RNA polymerase II-specific ","sequence-specific double-stranded DNA binding",0.032520325,0.003244402,0.000708325,0.031166313,0.019758547,"evm.utg78.53/evm.utg1005.68/evm.utg5885.87/evm.utg97204.12",4,"molecular_functions","0.691119706976986/0.974821861102972/-1.09996075507753/0.593573059436416","sequence-specific double-stranded DNA binding"
"GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane ","xenobiotic detoxification by transmembrane export across the plasma membrane",0.010989011,0.000450419,0.040229853,0.096364532,0.053180222,"evm.utg4157.34",1,"biological_processes","0.500665061992315","vesicle-mediated transport"
"GO:2000781","positive regulation of double-strand break repair ","positive regulation of double-strand break repair",0.021978022,6.93e-05,9.83e-06,0.001012706,0.000558877,"evm.utg1463.13/evm.utg7289.25",2,"biological_processes","0.506701647219889/0.497792339966594","positive regulation of double-strand break repair"
