"experiment","ontology","region","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","n_unique_genes","n_dmr_features","contributing_genes","methDiff_values","semantic_cluster_description","significance"
"Acute Experiment","Molecular function","gene","GO:0004540","RNA nuclease activity","1/24","6/813",0.165024200668479,0.257850313544498,0.206280250835599,1,1,1,"evm.utg2661.21","-0.856327307","RNA nuclease activity","ns"
"Acute Experiment","Molecular function","gene","GO:0004867","serine-type endopeptidase inhibitor activity","1/24","7/813",0.189856194700643,0.279200286324474,0.22336022905958,1,1,2,"evm.utg4605.20","2.75; 2.857142857","serine-type endopeptidase inhibitor activity","ns"
"Acute Experiment","Molecular function","gene","GO:0008270","zinc ion binding","3/24","62/813",0.274443081525479,0.381170946563165,0.304936757250532,3,3,4,"evm.utg1032.34; evm.utg28737.6; evm.utg3906.20","-2.631578947; -2.355072464; -1.290322581; 0.759296997","metal ion binding","ns"
"Acute Experiment","Molecular function","gene","GO:0005524","ATP binding","4/24","94/813",0.297793996751273,0.391834206251675,0.31346736500134,4,4,5,"evm.utg116.142; evm.utg1571.14; evm.utg162.19; evm.utg2661.21","-0.954979536; -0.840727496; -2.764976959; -1.025641026; -0.856327307","nucleotide binding","ns"
"Acute Experiment","Molecular function","gene","GO:0003676","nucleic acid binding","2/24","42/813",0.354998444446146,0.414280565099303,0.331424452079443,2,2,2,"evm.utg1032.34; evm.utg334.43","0.759296997; 1.161751564","nucleic acid binding","ns"
"Acute Experiment","Molecular function","gene","GO:0004674","protein serine/threonine kinase activity","1/24","15/813",0.364566897287387,0.414280565099303,0.331424452079443,1,1,1,"evm.utg162.19","-0.840727496","protein serine/threonine kinase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0016787","hydrolase activity","1/24","15/813",0.364566897287387,0.414280565099303,0.331424452079443,1,1,1,"evm.utg1571.14","-0.954979536","N-acetyl-beta-D-galactosaminidase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0004842","ubiquitin-protein transferase activity","1/24","19/813",0.437761528197181,0.475827748040414,0.380662198432331,1,1,1,"evm.utg11814.6","-2.763800327","ubiquitin protein ligase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0003677","DNA binding","3/24","97/813",0.561205938357933,0.584589519122847,0.467671615298277,3,3,3,"evm.utg1571.14; evm.utg542.38; utg101.equina_smart_1619046.mrna5","-0.954979536; 0.355111086; -0.182964017","nucleic acid binding","ns"
"Acute Experiment","Molecular function","gene","GO:0005044","scavenger receptor activity","1/24","29/813",0.587095766420249,0.587095766420249,0.4696766131362,1,1,1,"evm.utg9625.2","-0.908232114","scavenger receptor activity","ns"
"Acute Experiment","Molecular function","promoter","GO:0035368","selenocysteine insertion sequence binding","1/4","1/176",0.0227272727272727,0.135194805194805,0.0948735475051261,1,1,1,"evm.utg2661.20","-1.865136298","nucleic acid binding","ns"
"Acute Experiment","Molecular function","promoter","GO:0003723","RNA binding","1/4","2/176",0.0450649350649349,0.135194805194805,0.0948735475051261,1,1,1,"evm.utg816.8","15.06849315","nucleic acid binding","ns"
"Acute Experiment","Molecular function","promoter","GO:0004674","protein serine/threonine kinase activity","1/4","5/176",0.109784913113596,0.219569826227191,0.154084088580485,1,1,1,"evm.utg4613.33","2.919708029","protein serine/threonine kinase activity","ns"
"Acute Experiment","Molecular function","promoter","GO:0016787","hydrolase activity","1/4","11/176",0.229301802443122,0.343952703664683,0.241370318361181,1,1,1,"evm.utg59087.4","-2.547770701","N-acetyl-beta-D-galactosaminidase activity","ns"
"Acute Experiment","Molecular function","promoter","GO:0005524","ATP binding","1/4","15/176",0.302002283146393,0.362402739775672,0.254317712123278,1,1,1,"evm.utg4613.33","2.919708029","nucleotide binding","ns"
"Acute Experiment","Molecular function","promoter","GO:0046872","metal ion binding","1/4","23/176",0.431857657988812,0.431857657988812,0.303058005606184,1,1,1,"evm.utg59087.4","-2.547770701","metal ion binding","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0005509","calcium ion binding","6/18","27/429",0.000388860168384447,0.00505518218899781,0.00368393843732634,6,6,9,"evm.utg1138.4; evm.utg1569.8; evm.utg2333.11; evm.utg3884.52; evm.utg9625.4; utg2379.equina_smart_1636200.mrna1","-0.954979536; -2.380952381; 0.479846449; 0.657894737; 1.086956522; -0.675675676; -0.675675676; -0.675675676; -2.010050251","metal ion binding","**"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0004035","alkaline phosphatase activity","1/18","1/429",0.041958041958042,0.136363636363636,0.0993743099006257,1,1,1,"evm.utg479.60","5.673758865","phosphoprotein phosphatase activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0005245","voltage-gated calcium channel activity","1/18","1/429",0.041958041958042,0.136363636363636,0.0993743099006257,1,1,1,"evm.utg816.25","12.35521236","voltage-gated calcium channel activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0008483","transaminase activity","1/18","1/429",0.041958041958042,0.136363636363636,0.0993743099006257,1,1,5,"evm.utg30804.6","-7.792059577; -7.792059577; -7.792059577; -2.678571429; -2.678571429","transaminase activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0043130","ubiquitin binding","1/18","4/429",0.158080411055594,0.296356161313779,0.215968052779272,1,1,3,"evm.utg24440.2","-2.034428795; -2.034428795; -2.034428795","protein dimerization activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0043565","sequence-specific DNA binding","1/18","4/429",0.158080411055594,0.296356161313779,0.215968052779272,1,1,1,"evm.utg1395.61","-0.682422612","nucleic acid binding","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0004725","protein tyrosine phosphatase activity","1/18","5/429",0.193738181881474,0.296356161313779,0.215968052779272,1,1,2,"evm.utg989.44.45.2.5c2798c8","-1.589638331; -1.589638331","phosphoprotein phosphatase activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0008270","zinc ion binding","3/18","39/429",0.218524823425914,0.296356161313779,0.215968052779272,3,3,7,"evm.utg1032.34; evm.utg17372.1; evm.utg3906.20","1.540436457; -2.631578947; -2.631578947; -2.355072464; -2.355072464; 1.066924846; 1.066924846","metal ion binding","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0004386","helicase activity","1/18","6/429",0.227966277933676,0.296356161313779,0.215968052779272,1,1,1,"evm.utg17372.1","1.540436457","RNA helicase activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0005044","scavenger receptor activity","1/18","6/429",0.227966277933676,0.296356161313779,0.215968052779272,1,1,1,"evm.utg1569.8","-0.954979536","scavenger receptor activity","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0003676","nucleic acid binding","2/18","26/429",0.298790706949269,0.353116290030954,0.257331709334298,2,2,5,"evm.utg1032.34; evm.utg1256.23","-0.782441252; -0.782441252; -0.782441252; 1.066924846; 1.066924846","nucleic acid binding","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0046872","metal ion binding","2/18","48/429",0.619443892854695,0.671064217259253,0.489034652253707,2,2,2,"evm.utg221.15; evm.utg816.25","12.35521236; -0.782122905","metal ion binding","ns"
"Acute Experiment","Molecular function","dispersed_repeat","GO:0003677","DNA binding","1/18","52/429",0.907123245945423,0.907123245945423,0.661061474778041,1,1,2,"evm.utg432.4","-0.747967273; -0.747967273","nucleic acid binding","ns"
