"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0003884","D-amino-acid oxidase activity",0.0416666666666667,0.002460024600246,0.5,16.9375,3.93341620233877,0.0582044244087758,0.195625159762658,0.156500127810127,"evm.utg35662.1",1,"evm.utg35662.1","exp1__gene__evm.utg35662.1__4150","gene","CpG",-1.724137931,0.030262681,1,1,"Molecular Functions","gene","Acute Experiment","1/24","2/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"evm.utg1571.14",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__evm.utg1571.14__3751","gene","CpG",-0.954979536,0.049259963,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"evm.utg29536.5",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__evm.utg29536.5__4072","gene","CpG",-3.658536585,0.030262681,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"utg101.equina_smart_1619046.mrna5",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__utg101.equina_smart_1619046.mrna5__8226","gene","CHG",0.355111086,0.094705362,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"evm.utg11814.6",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__evm.utg11814.6__8292","gene","CHG",-2.763800327,0.078881824,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"evm.utg2327.13",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__evm.utg2327.13__15101","gene","CHH",-0.721500722,0.089022737,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0046872","metal ion binding",0.25,0.125461254612546,0.0588235294117647,1.99264705882353,1.86855239222517,0.0683640600112229,0.195625159762658,0.156500127810127,"evm.utg6459.27",6,"evm.utg1571.14/evm.utg29536.5/utg101.equina_smart_1619046.mrna5/evm.utg11814.6/evm.utg2327.13/evm.utg6459.27","exp1__gene__evm.utg6459.27__15885","gene","CHH",-1.271571299,0.000841832,6,6,"Molecular Functions","gene","Acute Experiment","6/24","102/813"
"GO:0004197","cysteine-type endopeptidase activity",0.0416666666666667,0.003690036900369,0.333333333333333,11.2916666666667,3.11278384126216,0.0860750702955696,0.195625159762658,0.156500127810127,"evm.utg4856.49",1,"evm.utg4856.49","exp1__gene__evm.utg4856.49__4379","gene","CpG",-2.83286119,0.043912743,1,1,"Molecular Functions","gene","Acute Experiment","1/24","3/813"
"GO:0070403","NAD+ binding",0.0416666666666667,0.003690036900369,0.333333333333333,11.2916666666667,3.11278384126216,0.0860750702955696,0.195625159762658,0.156500127810127,"evm.utg11814.7",1,"evm.utg11814.7","exp1__gene__evm.utg11814.7__8293","gene","CHG",-2.763800327,0.078881824,1,1,"Molecular Functions","gene","Acute Experiment","1/24","3/813"
"GO:0071949","FAD binding",0.0416666666666667,0.003690036900369,0.333333333333333,11.2916666666667,3.11278384126216,0.0860750702955696,0.195625159762658,0.156500127810127,"evm.utg35662.1",1,"evm.utg35662.1","exp1__gene__evm.utg35662.1__4150","gene","CpG",-1.724137931,0.030262681,1,1,"Molecular Functions","gene","Acute Experiment","1/24","3/813"
"GO:0003723","RNA binding",0.0833333333333333,0.027060270602706,0.0909090909090909,3.07954545454545,1.72360065364246,0.134785568833364,0.241725167756029,0.193380134204823,"evm.utg1571.14",2,"evm.utg1571.14/evm.utg17539.13","exp1__gene__evm.utg1571.14__3751","gene","CpG",-0.954979536,0.049259963,2,2,"Molecular Functions","gene","Acute Experiment","2/24","22/813"
"GO:0003723","RNA binding",0.0833333333333333,0.027060270602706,0.0909090909090909,3.07954545454545,1.72360065364246,0.134785568833364,0.241725167756029,0.193380134204823,"evm.utg17539.13",2,"evm.utg1571.14/evm.utg17539.13","exp1__gene__evm.utg17539.13__14965","gene","CHH",1.488095238,0.092747779,2,2,"Molecular Functions","gene","Acute Experiment","2/24","22/813"
