"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"evm.TU.utg5.3",0.86133034765162,9.48169698354926e-06,0.031606878588289,0.977640242970706,NA
"evm.TU.utg5.4",22.1628781332043,4.28828999518162e-05,0.0104700720495155,0.868917223962331,0.99999995182314
"evm.TU.utg5.5",0.611460527348678,-7.61252871824565e-05,0.0322486022002999,0.821733646937324,NA
"evm.TU.utg5.6",20.0818787527282,0.000358723705004284,0.0159915253329918,0.23163904161175,0.99999995182314
"evm.TU.utg5.8",0.104259495557441,-0.000112388555529728,0.0327345841378947,0.740365486863452,NA
"evm.TU.utg5.9",367.029607195402,0.000331352225351222,0.0101834100657637,0.365516297614364,0.99999995182314
"evm.TU.utg5.11",1.0537585681715,0.000100581368432492,0.0294830652507296,0.776116463255892,NA
"evm.TU.utg5.12",28.3789138719855,0.000641301379891386,0.0238415934976563,0.11097112104227,0.99999995182314
"evm.TU.utg5.15",0.188214506632016,-0.000101714178695867,0.0325969643653585,0.763840789551344,NA
"evm.TU.utg5.16",1.20884573151965,0.000269672025536624,0.0340361439524948,0.466522955664822,NA
"evm.TU.utg5.17",29.9658192481467,5.65388944290466e-05,0.0125286010513968,0.810539483751436,0.99999995182314
"evm.TU.utg5.19",0.105285670305249,-2.66249366030168e-06,0.0320635752239128,0.993656673377567,NA
"evm.TU.utg5.20",0.470193904756293,-8.04179770602301e-05,0.0323511802776398,0.811705052250867,NA
"evm.TU.utg5.28",22.1707220297072,-0.000183807779387253,0.0105017255981062,0.527817106353291,0.99999995182314
"evm.TU.utg5.29",90.096136596458,-4.57860864988588e-05,0.00969369243777429,0.90677897020544,0.99999995182314
"evm.TU.utg5.33",0.208518991114882,-0.000116399970694817,0.0327390235020499,0.731949381595791,NA
"evm.TU.utg5.37",30.9801008175156,-6.55199629286e-05,0.0104900571805918,0.802437752437298,0.99999995182314
"evm.TU.utg5.38",12.384962441994,-0.000207988323808854,0.0133242869625572,0.423188916535348,0.99999995182314
"evm.TU.utg5.39",7.81247525482696,-0.000112871408958155,0.0190011285359918,0.701574046633318,NA
"evm.TU.utg5.40",332.693157588486,-0.000123695057564018,0.00991691725312647,0.708893624121492,0.99999995182314
"evm.TU.utg5.41",41.0089123872715,-0.000288273087041313,0.0105607621495519,0.373420638365464,0.99999995182314
"evm.TU.utg5.42",3.04045725450463,-4.28293341403705e-05,0.0320986835177999,0.898575348352407,NA
"evm.TU.utg5.43",1.26137569416738,-1.71906735324637e-05,0.0320219428188558,0.959127417370451,NA
"evm.TU.utg5.46",3.85887066029224,0.000115835127166833,0.0199760224953005,0.703598310395198,NA
"evm.TU.utg5.47",1354.43312869272,-0.000393713852110295,0.00963849971535973,0.458495009804631,0.99999995182314
"evm.TU.utg5.48",780.483443496407,0.000353046457077815,0.00965518872331533,0.483470081130764,0.99999995182314
"evm.TU.utg5.50",0.446107688605507,2.51687442119525e-05,0.0320295503902829,0.940224112836132,NA
